                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.82691,                 1.8284,                0.82314,                 1.1608,                0.96208,                0.89833,                0.93456,                0.86451,                0.95305,                0.88763,                0.92686,                0.81479,                0.40867,                0.70925,                0.34609,                 0.9042,               0.008053,               0.008053,               0.008053
                     62,                0.82292,                 1.8237,                0.81947,                 1.1577,                0.96258,                0.89837,                0.93508,                0.86477,                0.95305,                0.88803,                0.92696,                0.81494,                0.40881,                0.70847,                0.34652,                0.90378,                0.00802,                0.00802,                0.00802
                     63,                0.82183,                 1.8213,                0.81792,                  1.156,                0.96295,                0.89903,                0.93476,                0.86487,                 0.9531,                0.88801,                 0.9267,                0.81511,                0.40873,                0.70856,                0.34644,                 0.9033,               0.007987,               0.007987,               0.007987
                     64,                0.82195,                  1.814,                0.81506,                 1.1571,                0.96357,                0.89878,                0.93484,                  0.865,                0.95333,                0.88716,                0.92653,                0.81485,                0.40907,                0.70881,                0.34646,                0.90299,               0.007954,               0.007954,               0.007954
                     65,                0.82461,                 1.8212,                0.81698,                 1.1568,                0.96369,                 0.8986,                0.93521,                0.86525,                0.95302,                0.88692,                0.92679,                0.81499,                0.40918,                0.70827,                0.34638,                0.90256,               0.007921,               0.007921,               0.007921
                     66,                0.82428,                 1.8179,                0.81604,                 1.1567,                0.96386,                0.89849,                0.93554,                0.86534,                0.95376,                0.88702,                0.92712,                 0.8153,                0.40911,                0.70606,                0.34639,                0.90222,               0.007888,               0.007888,               0.007888
                     67,                 0.8191,                 1.8087,                0.80767,                  1.151,                0.96307,                0.89905,                0.93576,                0.86528,                0.95286,                0.88677,                0.92683,                0.81535,                0.40911,                0.70588,                0.34634,                0.90181,               0.007855,               0.007855,               0.007855
                     68,                0.82242,                  1.811,                0.81054,                 1.1533,                0.96269,                0.89884,                0.93586,                0.86544,                0.95339,                0.88646,                0.92718,                0.81517,                0.40897,                0.70547,                0.34614,                0.90128,               0.007822,               0.007822,               0.007822
                     69,                0.82165,                 1.8197,                0.81365,                 1.1546,                0.96279,                0.89877,                0.93602,                0.86545,                0.95358,                0.88602,                0.92702,                0.81504,                0.40865,                 0.7051,                  0.346,                 0.9009,               0.007789,               0.007789,               0.007789
                     70,                0.82167,                 1.8163,                0.81158,                 1.1533,                  0.962,                 0.8994,                0.93602,                0.86551,                0.95385,                 0.8866,                0.92742,                0.81563,                0.40884,                0.70406,                0.34602,                0.90061,               0.007756,               0.007756,               0.007756
                     71,                0.82367,                 1.8142,                0.80832,                 1.1537,                0.96162,                0.89922,                0.93599,                0.86568,                0.95244,                0.88646,                0.92668,                0.81544,                0.40859,                0.70331,                0.34583,                0.90006,               0.007723,               0.007723,               0.007723
                     72,                0.81848,                 1.8068,                 0.8077,                 1.1504,                0.96168,                0.89964,                0.93608,                0.86578,                0.95364,                0.88554,                0.92654,                0.81545,                0.40876,                0.70243,                0.34569,                0.89969,                0.00769,                0.00769,                0.00769
                     73,                0.81942,                  1.812,                0.80817,                 1.1501,                0.96144,                0.89942,                0.93628,                0.86589,                0.95359,                0.88564,                0.92716,                0.81558,                0.40868,                0.70247,                0.34548,                0.89931,               0.007657,               0.007657,               0.007657
                     74,                0.81641,                 1.8021,                0.80271,                 1.1465,                0.96171,                0.89904,                0.93685,                0.86617,                0.95384,                0.88572,                0.92753,                0.81569,                 0.4087,                0.70144,                0.34533,                0.89882,               0.007624,               0.007624,               0.007624
                     75,                0.81652,                 1.8011,                0.80342,                  1.147,                0.96159,                0.89915,                0.93688,                0.86644,                0.95468,                0.88449,                0.92705,                0.81588,                0.40821,                0.70086,                0.34538,                0.89802,               0.007591,               0.007591,               0.007591
